0	I got sunburned again!  lol...13 days till my bday DD
0	I got sunburned today!  Going out to eat soon!!  with my family <33 xoxo
0	I got sunburned! Cali's already left a mark on me! I now have a red V on my back.
0	i got sunburnt and it hurts, plus my nose i think is pealing  :S
1	I got talked into this somehow. I guess we will see how it goes. Darn technology.
0	I got temptation licked... not literally tho   LOL!
0	I got that coffee pot all set up last night, but apparently the carafe wasn't all the way into place, and so my timed brew did not happen 
1	I got that from www.tourcrush.com on their message boards...  They were talking about no on prop 8 and marriag.. http://tinyurl.com/c889zx
1	I got that rock and roll, the future flow 
1	i got that terminate twat you can give me your cyborg blow i can swallow it whole so wet it floooows
0	I got the  BEST massage of my life last night.. but i went and f** up  my neck and upper back today... smh ===ouch  ineedyouu..
0	I got the #iphone 3.0 update but I won't have my phone until friday
1	i got the best present ever!
0	I got the blue screen of death yesterday and my brother reformatted my computer. I lost everything except some pictures.
1	I got the complete 4th season of "FRIENDS" on DVD this Saturday!  Who dosen't like "FRIENDS".... It's friggin' HILARIOUS! â™¥
0	i got the day off at school as i got no exams! but i have to do a bit of revision though  but at least i'll have radio 1 with me!
0	I got the DDR Extreme theme to work for StepmaniaX v11!  for about 8 songs, then it rebooted into the dashboard  FML
0	I got the DVD game Star Trek: Scene It for b-day... sadly, I don't have many (any) friends with that level of ST knowledge to play with. 
1	I got the greenday tickets in the mail today
0	I got the Hesh Skull Candy I used to hav the Gold TI but they broke  but yeah I purposely get the big hp so that I cant hear nada
0	I got the hicups! Grrr  lol
0	I got the iPhone 4 my Bday and I LOVE it! It's like having a laptop in ur pocket! But 2 wks l8r the new 1 came out!  But at least I got 1!
1	I got the job. frootloops  yumm
0	I got the Jonas Brothers stand home... it would be freakin' awesome if I liked them.
0	I got the lite mayo this time
0	I got the midweek blues
1	I got the nanny job!!! I start June 1st
1	I Got The New NeverShoutNever Song Stuck On My Head&& Its Called "Stuck On You"
1	I got the palm pre tweeps  its awesome!
0	I got the papa roach cd I was missing! But I couldn't find theory of a deadman
1	I got the perfect schedule
1	I got the sims3!
1	i got the slumdog millionaire book!  i loved the movie, book should be awesome too...
0	I got the sniffles a few days ago.  Boo
0	I got this bangin ass headache and I can't sleep. Movies over. I don't know what to do with myself
0	I got this big ass sun hot. I think I'm toooo cute I'm cold ass shyt with this dress on yoooo y the housin lady juss grilled me
0	i got this blackberry and cannt respond to my folks on twitter.. HELP.. Ughh
1	I got this giant thing on the inside of my mouth. If I didn't know better, I'd think a pimple was growing inside my lips. 
0	i got this heels on they are killin my feet lol im a sneaker chick i wish i had a pair now
0	I got this horrible rash  ouch!!!!!
0	I got three spider bites... on my face
0	I got through 3 hours of work before packing my shit and leaving. So sick
1	i got through today phew, just three more days  "they messed up time and time again, but they finally got it right with the class of 2010"
0	I got to be careful while stretching.! I could cut my fingers on the fan (again).!
0	I got to ctrl my temper!!! Just yelled at mom!
1	I got to get off for a bit to shower & get ready for work. I hope can figure out the pix thing!
