0	quite a while i'm afraid
1	Great new avatar pic! But I see that I am not the first to say this
1	EBAAAAY OF COURSE.. Its a lil swedish trangia. Pretty neat and small. Will do the job
0	I got so teary-eyed during that movie.
1	nice new profile pict. So, how's daddyhood treatin' ya? 
1	and what exactly that does mean? lol i'm too lazy to flip a tab to google translate.
1	I'm pretty sure you're right.  It's almost like your civic duty.
1	http://twitpic.com/5mqs1 - I'm all for you as the 12th Doctor!
0	I'm not but I know my friend is.
0	Say it isn't so! Keep us updated in this one, please, we want a happy ending 
0	haha it took over my life too...until i got my dishes up to level 10. now i barely play anymore
0	Hahahaha LOL my 42 new tweets have gone already
0	have no idea. Big w stopped as well.
0	Which reminds me, you never even touched your account at The Auteurs. 
1	Yeah  My dad and everyone else is already talking about how to get you guys back. Cannnt wait! How was your trip home?
1	Wow great prices! Look forward to hearing your review on Thursday
1	haha yes.  I have said on here many times on here that I should be going to confession too
0	your failure sounds intriguing, but your link doesn't work 
0	Please don't tell me your concert in DC on Sept 24 has been cancelled!  Not on the tour page anymore
0	thanks for something to do to get my mind off the bye bye song. Not my fav
0	I was meant to going to that today but my mates Im staying with in Hartlepool are both feeling rough so stuck with TV
0	oh I wish you guys were coming here  I wanna see savvy!!! ( and you guys of course) ha
1	Oh you dont normally work there? Or have you just noticed????  Have you been to Bettys?
0	You threw away a muffin??? That pains me.....................alot
1	sorry... just your average snotty older brother moment
0	: 7thgeneration post is gone  but I do like to wipe the privates with em and clean the counters
0	mate, are you even on sex without love by ben lee?  cos the internet says you are but i'm not hearing anyone else but ben.
0	Link to 'SM Paying Off?' returned 'article not found'
1	Damn straight it does fella!
1	 Epic. I might start playing one of the FF games again soon actualy since I lost all my saves when I got PS3 & sold my PS2
0	Aww thank you!  I would have replied sooner but Twitter wasn't loading on my laptop or my iPhone for a while
1	Yay!! You are planning on posting a pic right?
0	Don't even know how to hold a golf club
1	Then we'd need better #ctv streaming for #yyc.  Which I'm okay with, it'll make marketing it easier.  #yycctv2330
1	its coming soon enough man.... patience
1	yes, 2010. here's our PR bit abt me and the GTN project: t: Tnks 2   http://bit.ly/Ro1gU
0	ive been at work!  twas not a lol! I've got 5 next week! including 2 historys which is my U!!  how many do you have?
0	ooh say hello to Taunton to me when you pass! why are you there? Well, only BOYS are left 
0	gross - pass.  i want to see taylor swift!!!  boo responsibilities
0	i'm 300 miles away
1	she said it doesnt really matter..
0	aww, so sweet. my dad isn't at home. he's in KL  but he's comung bck today.
0	Doesn't work!
0	 YAY for WELSH  ....oh and fletcher too haha. Sean Rusling from the pies is injured....again!
0	i wanted to see that with u guys  can we watch i love u man on dvd together?x
0	Working, but wising I was cycling 
0	Aha Buffy! But my Buffoire collection is still in London  Boohoo
0	hahaha i want foood tooo
0	dont bully me cause im small
0	 what funeral?
0	i will come take one with you. Haha you txt twitter before you let your own boyfriend know
0	lol i need to get into it and advertise my twitter!!.. i cant get the hang of it  xx
0	Not even... oh...
1	Dude, do not do this to me. If you do this, be prepared to deal with the consequences! 
0	ahh this is true. i forgot.
0	Twitter FTW - minus newbies ofc ;) i think i am addicted actually
0	You didn't reply to my text!
1	Okie dokie, what a pity  I'll see with what he's doing then.
1	Thanks for asking me! And yeah for you... Very proud of your great article.
1	Wikipedia tells me your birthday is July 4th; is that true?
1	i heart your lost tweets....it lets me into this whole lost thing since ive never watched an episode. Thanks
0	my country embarrasses me sometimes
