1	I love brokeback Mountain!..
1	I love Brokeback Mountain.
1	i love brokeback mountain......
1	I love buffets it's like a never ending joy feast  !!!
1	i love california's crazy ass drivers because they drive just like me!! haha  heading back to newport. home sweet home [away from home ;)]
1	I love calling jake, telling him everything i ate today, and having his re assure me that it's not a lot.  that's what friends are for.
1	i love callum kempton sooooo much !  xx
1	i love camp rock till the end
1	I love Cat. She knows it.  She know im her number one fan. May fire or no may fire. Im her fan.
1	I LOVE CHACE CRAWFORD !!!  OMG he's soo HOT !!
0	I LOVE Charmed and is wondering when I will ever meet any of them
0	I love chatting with long time friends. 3 months
1	I love checking out the cell phones and "cutting edge" technology in 1995's The Net
1	i love cheese itzzz
1	I love Chelsea Lately, one of the funniest shows every. 
1	I love Chicago- 4 for 4 with sports today!!!! Go hawks and Cubbies! Ok and Bulls and Sox  Liddell retire already btw!
0	I love chick flicks <3 and I hate work
0	I love Chinese, but Chinese doesn't love me 
1	i love chocolate fountains
0	I LOVE chocolate,but the choco. bar i want is no longer available and i never got a chance to take a good bite 
1	i love christian louboutin
1	i love clean clothes
1	i love club starz! i love spring break! mm deffffinitely dope
1	i love coffee Sumatra  . . . . . .http://bit.ly/o57eE
1	i love coming out to the family room and finding dolls, blankies, alphabet books, and winnie the pooh movies all over the floor 
1	I love commercials with #OZZY in them.
1	i love competitions  http://ninemsn.com.au/competitions
0	I love CONAN! Glad he is back, but why is everyone I like moving to L.A. ?   (It's not really that cool...)
1	I love Conan.
0	I love cookies. I don't love what the do to my ass
1	I love coupe bizarre. That's all. As you were
1	I love crafts
1	i love crime shows
1	i love crosby and malkin and the stanley cup <333  !
1	I love Cruel Intentions!
1	i love crying like a little baby and being emotionalll with my mommy. got such a cute shirt/dresss at forever today! eep
0	i love crying upstairs when everyone is downstairs.
1	I love curly fries  .... Alright already, gimme a break, I get to be a fat kid every now and again ;)
1	I love cutting this lawn on a day like today  http://mypict.me/24Vs
1	I love Da Vinci Code.
1	I love Dancing Queen, by ABBA. It makes me happy. 
0	i love dateline/mystery solving shows.  not good for someone who gets nightmares easily
1	i love days like these!
1	I love days like this - sunny, chilly like fall, comfy. Gives me an excuse to wear a hoody. 
1	I love days like this mmmmm  yay!
0	I love death note. Stupis kate wouldnt let us watch it
1	I love Debby Ryan is so Fabulous
1	I LOVE DEEJAYING... MORE THAN YOU GIRL...   http://deejayboone.com
1	I love Derek ( repeat x a gazillion)  what a duuuuuuuuuude!
1	i love designing peoples twitter! eg. like mine, & coming soon! 
0	I love Dewey from Malcolm in the Middle, he played Fuzzy in Cider House Rules; he died  
1	I love diversity guys, they're just soooo cool 
